NAMESPACE              NAME                                                 TYPE           CLUSTER-IP      EXTERNAL-IP                              PORT(S)                        AGE    SELECTOR
argocd                 argocd-applicationset-controller                     ClusterIP      10.43.253.124   <none>                                   7000/TCP,8888/TCP              141d   app.kubernetes.io/name=argocd-applicationset-controller
argocd                 argocd-dex-server                                    ClusterIP      10.43.104.10    <none>                                   5556/TCP,5557/TCP,5558/TCP     141d   app.kubernetes.io/name=argocd-dex-server
argocd                 argocd-metrics                                       ClusterIP      10.43.179.241   <none>                                   8082/TCP                       141d   app.kubernetes.io/name=argocd-application-controller
argocd                 argocd-notifications-controller-metrics              ClusterIP      10.43.200.146   <none>                                   9001/TCP                       141d   app.kubernetes.io/name=argocd-notifications-controller
argocd                 argocd-redis                                         ClusterIP      10.43.194.29    <none>                                   6379/TCP                       141d   app.kubernetes.io/name=argocd-redis
argocd                 argocd-repo-server                                   ClusterIP      10.43.159.3     <none>                                   8081/TCP,8084/TCP              141d   app.kubernetes.io/name=argocd-repo-server
argocd                 argocd-server                                        LoadBalancer   10.43.171.202   192.168.0.18,192.168.0.24,192.168.0.25   8082:32125/TCP                 141d   app.kubernetes.io/name=argocd-server
argocd                 argocd-server-metrics                                ClusterIP      10.43.190.239   <none>                                   8083/TCP                       141d   app.kubernetes.io/name=argocd-server
cyclops                cyclops-ctrl                                         ClusterIP      10.43.242.229   <none>                                   8080/TCP                       74d    app=cyclops-ctrl
cyclops                cyclops-ui                                           ClusterIP      10.43.9.79      <none>                                   3000/TCP                       74d    app=cyclops-ui
default                hello-world                                          NodePort       10.43.200.218   <none>                                   8080:32193/TCP                 156d   app=hello-world
default                kubernetes                                           ClusterIP      10.43.0.1       <none>                                   443/TCP                        309d   <none>
default                nginx-service                                        NodePort       10.43.197.230   <none>                                   80:31208/TCP                   157d   app=nginx
kube-system            headlamp                                             ClusterIP      10.43.133.235   <none>                                   80/TCP                         141d   k8s-app=headlamp
kube-system            kite                                                 ClusterIP      10.43.211.32    <none>                                   8080/TCP                       144d   app.kubernetes.io/instance=kite,app.kubernetes.io/name=kite
kube-system            kite-service                                         NodePort       10.43.66.194    <none>                                   80:30080/TCP                   144d   app.kubernetes.io/instance=kite,app.kubernetes.io/name=kite
kube-system            kube-dns                                             ClusterIP      10.43.0.10      <none>                                   53/UDP,53/TCP,9153/TCP         309d   k8s-app=kube-dns
kube-system            metrics-server                                       ClusterIP      10.43.3.29      <none>                                   443/TCP                        309d   k8s-app=metrics-server
kube-system            monitorgrafana-kube-promet-coredns                   ClusterIP      None            <none>                                   9153/TCP                       144d   k8s-app=kube-dns
kube-system            monitorgrafana-kube-promet-kube-controller-manager   ClusterIP      None            <none>                                   10257/TCP                      144d   component=kube-controller-manager
kube-system            monitorgrafana-kube-promet-kube-etcd                 ClusterIP      None            <none>                                   2381/TCP                       144d   component=etcd
kube-system            monitorgrafana-kube-promet-kube-proxy                ClusterIP      None            <none>                                   10249/TCP                      144d   k8s-app=kube-proxy
kube-system            monitorgrafana-kube-promet-kube-scheduler            ClusterIP      None            <none>                                   10259/TCP                      144d   component=kube-scheduler
kube-system            monitorgrafana-kube-promet-kubelet                   ClusterIP      None            <none>                                   10250/TCP,10255/TCP,4194/TCP   308d   <none>
kube-system            traefik                                              LoadBalancer   10.43.118.116   192.168.0.18,192.168.0.24,192.168.0.25   80:30329/TCP,443:31328/TCP     309d   app.kubernetes.io/instance=traefik-kube-system,app.kubernetes.io/name=traefik
kubernetes-dashboard   dashboard-metrics-scraper                            ClusterIP      10.43.28.65     <none>                                   8000/TCP                       156d   k8s-app=dashboard-metrics-scraper
kubernetes-dashboard   kubernetes-dashboard                                 ClusterIP      10.43.105.184   <none>                                   443/TCP                        156d   k8s-app=kubernetes-dashboard
monitoring             alertmanager-operated                                ClusterIP      None            <none>                                   9093/TCP,9094/TCP,9094/UDP     144d   app.kubernetes.io/name=alertmanager
monitoring             loki                                                 NodePort       10.43.92.47     <none>                                   3100:30995/TCP                 144d   app=loki,release=loki
monitoring             loki-headless                                        ClusterIP      None            <none>                                   3100/TCP                       144d   app=loki,release=loki
monitoring             loki-memberlist                                      ClusterIP      None            <none>                                   7946/TCP                       144d   app=loki,release=loki
monitoring             monitorgrafana                                       NodePort       10.43.118.145   <none>                                   80:31968/TCP                   144d   app.kubernetes.io/instance=monitorgrafana,app.kubernetes.io/name=grafana
monitoring             monitorgrafana-kube-promet-alertmanager              ClusterIP      10.43.220.169   <none>                                   9093/TCP,8080/TCP              144d   alertmanager=monitorgrafana-kube-promet-alertmanager,app.kubernetes.io/name=alertmanager
monitoring             monitorgrafana-kube-promet-operator                  ClusterIP      10.43.239.212   <none>                                   443/TCP                        144d   app=kube-prometheus-stack-operator,release=monitorgrafana
monitoring             monitorgrafana-kube-promet-prometheus                ClusterIP      10.43.227.154   <none>                                   9090/TCP,8080/TCP              144d   app.kubernetes.io/name=prometheus,operator.prometheus.io/name=monitorgrafana-kube-promet-prometheus
monitoring             monitorgrafana-kube-state-metrics                    ClusterIP      10.43.105.215   <none>                                   8080/TCP                       144d   app.kubernetes.io/instance=monitorgrafana,app.kubernetes.io/name=kube-state-metrics
monitoring             monitorgrafana-prometheus-node-exporter              ClusterIP      10.43.141.113   <none>                                   9100/TCP                       144d   app.kubernetes.io/instance=monitorgrafana,app.kubernetes.io/name=prometheus-node-exporter
monitoring             prometheus-operated                                  ClusterIP      None            <none>                                   9090/TCP                       144d   app.kubernetes.io/name=prometheus
pauhome                web                                                  ClusterIP      10.43.87.68     <none>                                   80/TCP                         144d   app=web
