NAMESPACE    NAME                                                              AGE
monitoring   monitorgrafana-kube-promet-alertmanager.rules                     144d
monitoring   monitorgrafana-kube-promet-config-reloaders                       144d
monitoring   monitorgrafana-kube-promet-etcd                                   144d
monitoring   monitorgrafana-kube-promet-general.rules                          144d
monitoring   monitorgrafana-kube-promet-k8s.rules.container-cpu-usage-second   144d
monitoring   monitorgrafana-kube-promet-k8s.rules.container-memory-cache       144d
monitoring   monitorgrafana-kube-promet-k8s.rules.container-memory-rss         144d
monitoring   monitorgrafana-kube-promet-k8s.rules.container-memory-swap        144d
monitoring   monitorgrafana-kube-promet-k8s.rules.container-memory-working-s   144d
monitoring   monitorgrafana-kube-promet-k8s.rules.container-resource           144d
monitoring   monitorgrafana-kube-promet-k8s.rules.pod-owner                    144d
monitoring   monitorgrafana-kube-promet-kube-apiserver-availability.rules      144d
monitoring   monitorgrafana-kube-promet-kube-apiserver-burnrate.rules          144d
monitoring   monitorgrafana-kube-promet-kube-apiserver-histogram.rules         144d
monitoring   monitorgrafana-kube-promet-kube-apiserver-slos                    144d
monitoring   monitorgrafana-kube-promet-kube-prometheus-general.rules          144d
monitoring   monitorgrafana-kube-promet-kube-prometheus-node-recording.rules   144d
monitoring   monitorgrafana-kube-promet-kube-scheduler.rules                   144d
monitoring   monitorgrafana-kube-promet-kube-state-metrics                     144d
monitoring   monitorgrafana-kube-promet-kubelet.rules                          144d
monitoring   monitorgrafana-kube-promet-kubernetes-apps                        144d
monitoring   monitorgrafana-kube-promet-kubernetes-resources                   144d
monitoring   monitorgrafana-kube-promet-kubernetes-storage                     144d
monitoring   monitorgrafana-kube-promet-kubernetes-system                      144d
monitoring   monitorgrafana-kube-promet-kubernetes-system-apiserver            144d
monitoring   monitorgrafana-kube-promet-kubernetes-system-controller-manager   144d
monitoring   monitorgrafana-kube-promet-kubernetes-system-kube-proxy           144d
monitoring   monitorgrafana-kube-promet-kubernetes-system-kubelet              144d
monitoring   monitorgrafana-kube-promet-kubernetes-system-scheduler            144d
monitoring   monitorgrafana-kube-promet-node-exporter                          144d
monitoring   monitorgrafana-kube-promet-node-exporter.rules                    144d
monitoring   monitorgrafana-kube-promet-node-network                           144d
monitoring   monitorgrafana-kube-promet-node.rules                             144d
monitoring   monitorgrafana-kube-promet-prometheus                             144d
monitoring   monitorgrafana-kube-promet-prometheus-operator                    144d
