NAME                                                            ROLE                                                                        AGE
admin-user                                                      ClusterRole/cluster-admin                                                   156d
argocd-application-controller                                   ClusterRole/argocd-application-controller                                   141d
argocd-applicationset-controller                                ClusterRole/argocd-applicationset-controller                                141d
argocd-server                                                   ClusterRole/argocd-server                                                   141d
cluster-admin                                                   ClusterRole/cluster-admin                                                   309d
clustercidrs-node                                               ClusterRole/clustercidrs-node                                               309d
cyclops-ctrl                                                    ClusterRole/cyclops-ctrl                                                    74d
headlamp-admin                                                  ClusterRole/cluster-admin                                                   141d
helm-kube-system-traefik                                        ClusterRole/cluster-admin                                                   309d
helm-kube-system-traefik-crd                                    ClusterRole/cluster-admin                                                   309d
k3s-cloud-controller-manager                                    ClusterRole/k3s-cloud-controller-manager                                    309d
k3s-cloud-controller-manager-auth-delegator                     ClusterRole/system:auth-delegator                                           309d
kite                                                            ClusterRole/kite                                                            144d
kube-apiserver-kubelet-admin                                    ClusterRole/system:kubelet-api-admin                                        309d
kubernetes-dashboard                                            ClusterRole/kubernetes-dashboard                                            156d
local-path-provisioner-bind                                     ClusterRole/local-path-provisioner-role                                     309d
loki-promtail                                                   ClusterRole/loki-promtail                                                   144d
metrics-server:system:auth-delegator                            ClusterRole/system:auth-delegator                                           309d
monitorgrafana-clusterrolebinding                               ClusterRole/monitorgrafana-clusterrole                                      144d
monitorgrafana-kube-promet-operator                             ClusterRole/monitorgrafana-kube-promet-operator                             144d
monitorgrafana-kube-promet-prometheus                           ClusterRole/monitorgrafana-kube-promet-prometheus                           144d
monitorgrafana-kube-state-metrics                               ClusterRole/monitorgrafana-kube-state-metrics                               144d
system:basic-user                                               ClusterRole/system:basic-user                                               309d
system:controller:attachdetach-controller                       ClusterRole/system:controller:attachdetach-controller                       309d
system:controller:certificate-controller                        ClusterRole/system:controller:certificate-controller                        309d
system:controller:clusterrole-aggregation-controller            ClusterRole/system:controller:clusterrole-aggregation-controller            309d
system:controller:cronjob-controller                            ClusterRole/system:controller:cronjob-controller                            309d
system:controller:daemon-set-controller                         ClusterRole/system:controller:daemon-set-controller                         309d
system:controller:deployment-controller                         ClusterRole/system:controller:deployment-controller                         309d
system:controller:disruption-controller                         ClusterRole/system:controller:disruption-controller                         309d
system:controller:endpoint-controller                           ClusterRole/system:controller:endpoint-controller                           309d
system:controller:endpointslice-controller                      ClusterRole/system:controller:endpointslice-controller                      309d
system:controller:endpointslicemirroring-controller             ClusterRole/system:controller:endpointslicemirroring-controller             309d
system:controller:ephemeral-volume-controller                   ClusterRole/system:controller:ephemeral-volume-controller                   309d
system:controller:expand-controller                             ClusterRole/system:controller:expand-controller                             309d
system:controller:generic-garbage-collector                     ClusterRole/system:controller:generic-garbage-collector                     309d
system:controller:horizontal-pod-autoscaler                     ClusterRole/system:controller:horizontal-pod-autoscaler                     309d
system:controller:job-controller                                ClusterRole/system:controller:job-controller                                309d
system:controller:legacy-service-account-token-cleaner          ClusterRole/system:controller:legacy-service-account-token-cleaner          309d
system:controller:namespace-controller                          ClusterRole/system:controller:namespace-controller                          309d
system:controller:node-controller                               ClusterRole/system:controller:node-controller                               309d
system:controller:persistent-volume-binder                      ClusterRole/system:controller:persistent-volume-binder                      309d
system:controller:pod-garbage-collector                         ClusterRole/system:controller:pod-garbage-collector                         309d
system:controller:pv-protection-controller                      ClusterRole/system:controller:pv-protection-controller                      309d
system:controller:pvc-protection-controller                     ClusterRole/system:controller:pvc-protection-controller                     309d
system:controller:replicaset-controller                         ClusterRole/system:controller:replicaset-controller                         309d
system:controller:replication-controller                        ClusterRole/system:controller:replication-controller                        309d
system:controller:resourcequota-controller                      ClusterRole/system:controller:resourcequota-controller                      309d
system:controller:root-ca-cert-publisher                        ClusterRole/system:controller:root-ca-cert-publisher                        309d
system:controller:route-controller                              ClusterRole/system:controller:route-controller                              309d
system:controller:service-account-controller                    ClusterRole/system:controller:service-account-controller                    309d
system:controller:service-controller                            ClusterRole/system:controller:service-controller                            309d
system:controller:statefulset-controller                        ClusterRole/system:controller:statefulset-controller                        309d
system:controller:ttl-after-finished-controller                 ClusterRole/system:controller:ttl-after-finished-controller                 309d
system:controller:ttl-controller                                ClusterRole/system:controller:ttl-controller                                309d
system:controller:validatingadmissionpolicy-status-controller   ClusterRole/system:controller:validatingadmissionpolicy-status-controller   309d
system:coredns                                                  ClusterRole/system:coredns                                                  309d
system:discovery                                                ClusterRole/system:discovery                                                309d
system:k3s-controller                                           ClusterRole/system:k3s-controller                                           309d
system:kube-controller-manager                                  ClusterRole/system:kube-controller-manager                                  309d
system:kube-dns                                                 ClusterRole/system:kube-dns                                                 309d
system:kube-scheduler                                           ClusterRole/system:kube-scheduler                                           309d
system:metrics-server                                           ClusterRole/system:metrics-server                                           309d
system:monitoring                                               ClusterRole/system:monitoring                                               309d
system:node                                                     ClusterRole/system:node                                                     309d
system:node-proxier                                             ClusterRole/system:node-proxier                                             309d
system:public-info-viewer                                       ClusterRole/system:public-info-viewer                                       309d
system:service-account-issuer-discovery                         ClusterRole/system:service-account-issuer-discovery                         309d
system:volume-scheduler                                         ClusterRole/system:volume-scheduler                                         309d
traefik-kube-system                                             ClusterRole/traefik-kube-system                                             309d
