NAMESPACE              NAME                                                 ROLE                                                  AGE
argocd                 argocd-application-controller                        Role/argocd-application-controller                    141d
argocd                 argocd-applicationset-controller                     Role/argocd-applicationset-controller                 141d
argocd                 argocd-dex-server                                    Role/argocd-dex-server                                141d
argocd                 argocd-notifications-controller                      Role/argocd-notifications-controller                  141d
argocd                 argocd-redis                                         Role/argocd-redis                                     141d
argocd                 argocd-server                                        Role/argocd-server                                    141d
kube-public            system:controller:bootstrap-signer                   Role/system:controller:bootstrap-signer               309d
kube-system            k3s-cloud-controller-manager-authentication-reader   Role/extension-apiserver-authentication-reader        309d
kube-system            metrics-server-auth-reader                           Role/extension-apiserver-authentication-reader        309d
kube-system            system::extension-apiserver-authentication-reader    Role/extension-apiserver-authentication-reader        309d
kube-system            system::leader-locking-kube-controller-manager       Role/system::leader-locking-kube-controller-manager   309d
kube-system            system::leader-locking-kube-scheduler                Role/system::leader-locking-kube-scheduler            309d
kube-system            system:controller:bootstrap-signer                   Role/system:controller:bootstrap-signer               309d
kube-system            system:controller:cloud-provider                     Role/system:controller:cloud-provider                 309d
kube-system            system:controller:token-cleaner                      Role/system:controller:token-cleaner                  309d
kubernetes-dashboard   kubernetes-dashboard                                 Role/kubernetes-dashboard                             156d
monitoring             loki                                                 Role/loki                                             144d
monitoring             monitorgrafana                                       Role/monitorgrafana                                   144d
