NAMESPACE              NAME                                                                                  TYPE                 DATA   AGE
argocd                 argocd-initial-admin-secret                                                           Opaque               1      141d
argocd                 argocd-notifications-secret                                                           Opaque               0      141d
argocd                 argocd-redis                                                                          Opaque               1      141d
argocd                 argocd-secret                                                                         Opaque               5      141d
kube-system            chart-values-traefik                                                                  Opaque               1      309d
kube-system            chart-values-traefik-crd                                                              Opaque               0      309d
kube-system            debianmaster.node-password.k3s                                                        Opaque               1      309d
kube-system            debianworker1.node-password.k3s                                                       Opaque               1      74d
kube-system            debianworker2.node-password.k3s                                                       Opaque               1      309d
kube-system            k3s-serving                                                                           kubernetes.io/tls    2      309d
kube-system            kite-secret                                                                           Opaque               3      144d
kube-system            sh.helm.release.v1.kite.v1                                                            helm.sh/release.v1   1      144d
kube-system            sh.helm.release.v1.traefik-crd.v1                                                     helm.sh/release.v1   1      309d
kube-system            sh.helm.release.v1.traefik.v1                                                         helm.sh/release.v1   1      309d
kubernetes-dashboard   kubernetes-dashboard-certs                                                            Opaque               0      156d
kubernetes-dashboard   kubernetes-dashboard-csrf                                                             Opaque               1      156d
kubernetes-dashboard   kubernetes-dashboard-key-holder                                                       Opaque               2      156d
monitoring             alertmanager-monitorgrafana-kube-promet-alertmanager                                  Opaque               1      144d
monitoring             alertmanager-monitorgrafana-kube-promet-alertmanager-cluster-tls-config               Opaque               1      144d
monitoring             alertmanager-monitorgrafana-kube-promet-alertmanager-generated                        Opaque               1      144d
monitoring             alertmanager-monitorgrafana-kube-promet-alertmanager-tls-assets-0                     Opaque               0      144d
monitoring             alertmanager-monitorgrafana-kube-promet-alertmanager-web-config                       Opaque               1      144d
monitoring             loki                                                                                  Opaque               1      144d
monitoring             loki-promtail                                                                         Opaque               1      144d
monitoring             monitorgrafana                                                                        Opaque               3      144d
monitoring             monitorgrafana-kube-promet-admission                                                  Opaque               3      144d
monitoring             prometheus-monitorgrafana-kube-promet-prometheus                                      Opaque               1      144d
monitoring             prometheus-monitorgrafana-kube-promet-prometheus-thanos-prometheus-http-client-file   Opaque               1      144d
monitoring             prometheus-monitorgrafana-kube-promet-prometheus-tls-assets-0                         Opaque               1      144d
monitoring             prometheus-monitorgrafana-kube-promet-prometheus-web-config                           Opaque               1      144d
monitoring             sh.helm.release.v1.loki.v1                                                            helm.sh/release.v1   1      144d
monitoring             sh.helm.release.v1.monitorgrafana.v1                                                  helm.sh/release.v1   1      144d
