NAMESPACE              NAME                                          SECRETS   AGE
argocd                 argocd-application-controller                 0         141d
argocd                 argocd-applicationset-controller              0         141d
argocd                 argocd-dex-server                             0         141d
argocd                 argocd-notifications-controller               0         141d
argocd                 argocd-redis                                  0         141d
argocd                 argocd-repo-server                            0         141d
argocd                 argocd-server                                 0         141d
argocd                 default                                       0         141d
cyclops                cyclops-ctrl                                  0         74d
cyclops                default                                       0         74d
default                default                                       0         309d
headlamp               default                                       0         141d
kube-node-lease        default                                       0         309d
kube-public            default                                       0         309d
kube-system            attachdetach-controller                       0         309d
kube-system            certificate-controller                        0         309d
kube-system            clusterrole-aggregation-controller            0         309d
kube-system            coredns                                       0         309d
kube-system            cronjob-controller                            0         309d
kube-system            daemon-set-controller                         0         309d
kube-system            default                                       0         309d
kube-system            deployment-controller                         0         309d
kube-system            disruption-controller                         0         309d
kube-system            endpoint-controller                           0         309d
kube-system            endpointslice-controller                      0         309d
kube-system            endpointslicemirroring-controller             0         309d
kube-system            ephemeral-volume-controller                   0         309d
kube-system            expand-controller                             0         309d
kube-system            generic-garbage-collector                     0         309d
kube-system            headlamp-admin                                0         141d
kube-system            helm-traefik                                  0         309d
kube-system            helm-traefik-crd                              0         309d
kube-system            horizontal-pod-autoscaler                     0         309d
kube-system            job-controller                                0         309d
kube-system            kite                                          0         144d
kube-system            legacy-service-account-token-cleaner          0         309d
kube-system            local-path-provisioner-service-account        0         309d
kube-system            metrics-server                                0         309d
kube-system            namespace-controller                          0         309d
kube-system            node-controller                               0         309d
kube-system            persistent-volume-binder                      0         309d
kube-system            pod-garbage-collector                         0         309d
kube-system            pv-protection-controller                      0         309d
kube-system            pvc-protection-controller                     0         309d
kube-system            replicaset-controller                         0         309d
kube-system            replication-controller                        0         309d
kube-system            resourcequota-controller                      0         309d
kube-system            root-ca-cert-publisher                        0         309d
kube-system            service-account-controller                    0         309d
kube-system            statefulset-controller                        0         309d
kube-system            svclb                                         0         309d
kube-system            token-cleaner                                 0         309d
kube-system            traefik                                       0         309d
kube-system            ttl-after-finished-controller                 0         309d
kube-system            ttl-controller                                0         309d
kube-system            validatingadmissionpolicy-status-controller   0         309d
kubernetes-dashboard   admin-user                                    0         156d
kubernetes-dashboard   default                                       0         156d
kubernetes-dashboard   kubernetes-dashboard                          0         156d
monitoring             default                                       0         308d
monitoring             loki                                          0         144d
monitoring             loki-promtail                                 0         144d
monitoring             monitorgrafana                                0         144d
monitoring             monitorgrafana-kube-promet-alertmanager       0         144d
monitoring             monitorgrafana-kube-promet-operator           0         144d
monitoring             monitorgrafana-kube-promet-prometheus         0         144d
monitoring             monitorgrafana-kube-state-metrics             0         144d
monitoring             monitorgrafana-prometheus-node-exporter       0         144d
pauhome                default                                       0         308d
