NAMESPACE              NAME                                                           DATA   AGE
argocd                 argocd-cm                                                      9      141d
argocd                 argocd-cmd-params-cm                                           0      141d
argocd                 argocd-gpg-keys-cm                                             0      141d
argocd                 argocd-notifications-cm                                        0      141d
argocd                 argocd-rbac-cm                                                 0      141d
argocd                 argocd-ssh-known-hosts-cm                                      1      141d
argocd                 argocd-tls-certs-cm                                            0      141d
argocd                 kube-root-ca.crt                                               1      141d
cyclops                kube-root-ca.crt                                               1      74d
default                kube-root-ca.crt                                               1      309d
headlamp               kube-root-ca.crt                                               1      141d
kube-node-lease        kube-root-ca.crt                                               1      309d
kube-public            kube-root-ca.crt                                               1      309d
kube-system            chart-content-traefik                                          0      309d
kube-system            chart-content-traefik-crd                                      0      309d
kube-system            cluster-dns                                                    2      309d
kube-system            coredns                                                        2      309d
kube-system            extension-apiserver-authentication                             6      309d
kube-system            kite-roles                                                     1      144d
kube-system            kube-apiserver-legacy-service-account-token-tracking           1      309d
kube-system            kube-root-ca.crt                                               1      309d
kube-system            local-path-config                                              4      309d
kubernetes-dashboard   kube-root-ca.crt                                               1      156d
kubernetes-dashboard   kubernetes-dashboard-settings                                  0      156d
monitoring             kube-root-ca.crt                                               1      144d
monitoring             loki-loki-stack                                                1      144d
monitoring             loki-loki-stack-test                                           1      144d
monitoring             monitorgrafana                                                 1      144d
monitoring             monitorgrafana-config-dashboards                               1      144d
monitoring             monitorgrafana-kube-promet-alertmanager-overview               1      144d
monitoring             monitorgrafana-kube-promet-apiserver                           1      144d
monitoring             monitorgrafana-kube-promet-cluster-total                       1      144d
monitoring             monitorgrafana-kube-promet-controller-manager                  1      144d
monitoring             monitorgrafana-kube-promet-etcd                                1      144d
monitoring             monitorgrafana-kube-promet-grafana-datasource                  1      144d
monitoring             monitorgrafana-kube-promet-grafana-overview                    1      144d
monitoring             monitorgrafana-kube-promet-k8s-coredns                         1      144d
monitoring             monitorgrafana-kube-promet-k8s-resources-cluster               1      144d
monitoring             monitorgrafana-kube-promet-k8s-resources-multicluster          1      144d
monitoring             monitorgrafana-kube-promet-k8s-resources-namespace             1      144d
monitoring             monitorgrafana-kube-promet-k8s-resources-node                  1      144d
monitoring             monitorgrafana-kube-promet-k8s-resources-pod                   1      144d
monitoring             monitorgrafana-kube-promet-k8s-resources-workload              1      144d
monitoring             monitorgrafana-kube-promet-k8s-resources-workloads-namespace   1      144d
monitoring             monitorgrafana-kube-promet-kubelet                             1      144d
monitoring             monitorgrafana-kube-promet-namespace-by-pod                    1      144d
monitoring             monitorgrafana-kube-promet-namespace-by-workload               1      144d
monitoring             monitorgrafana-kube-promet-node-cluster-rsrc-use               1      144d
monitoring             monitorgrafana-kube-promet-node-rsrc-use                       1      144d
monitoring             monitorgrafana-kube-promet-nodes                               1      144d
monitoring             monitorgrafana-kube-promet-nodes-aix                           1      144d
monitoring             monitorgrafana-kube-promet-nodes-darwin                        1      144d
monitoring             monitorgrafana-kube-promet-persistentvolumesusage              1      144d
monitoring             monitorgrafana-kube-promet-pod-total                           1      144d
monitoring             monitorgrafana-kube-promet-prometheus                          1      144d
monitoring             monitorgrafana-kube-promet-proxy                               1      144d
monitoring             monitorgrafana-kube-promet-scheduler                           1      144d
monitoring             monitorgrafana-kube-promet-workload-total                      1      144d
monitoring             prometheus-monitorgrafana-kube-promet-prometheus-rulefiles-0   35     144d
pauhome                kube-root-ca.crt                                               1      308d
