NAMESPACE              NAME                                  READY   UP-TO-DATE   AVAILABLE   AGE    CONTAINERS                                            IMAGES                                                                                                     SELECTOR
argocd                 argocd-applicationset-controller      1/1     1            1           141d   argocd-applicationset-controller                      quay.io/argoproj/argocd:v3.1.1                                                                             app.kubernetes.io/name=argocd-applicationset-controller
argocd                 argocd-dex-server                     1/1     1            1           141d   dex                                                   ghcr.io/dexidp/dex:v2.43.0                                                                                 app.kubernetes.io/name=argocd-dex-server
argocd                 argocd-notifications-controller       1/1     1            1           141d   argocd-notifications-controller                       quay.io/argoproj/argocd:v3.1.1                                                                             app.kubernetes.io/name=argocd-notifications-controller
argocd                 argocd-redis                          1/1     1            1           141d   redis                                                 public.ecr.aws/docker/library/redis:7.2.7-alpine                                                           app.kubernetes.io/name=argocd-redis
argocd                 argocd-repo-server                    1/1     1            1           141d   argocd-repo-server                                    quay.io/argoproj/argocd:v3.1.1                                                                             app.kubernetes.io/name=argocd-repo-server
argocd                 argocd-server                         0/1     1            0           141d   argocd-server                                         quay.io/argoproj/argocd:v3.1.1                                                                             app.kubernetes.io/name=argocd-server
cyclops                cyclops-ctrl                          1/1     1            1           74d    cyclops-ctrl                                          cyclopsui/cyclops-ctrl:v0.21.1                                                                             app=cyclops-ctrl
cyclops                cyclops-ui                            1/1     1            1           74d    cyclops-ui                                            cyclopsui/cyclops-ui:v0.21.1                                                                               app=cyclops-ui
default                hello-world                           1/1     1            1           156d   hello-app                                             gcr.io/google-samples/hello-app:1.0                                                                        app=hello-world
default                nginx                                 1/1     1            1           157d   nginx                                                 nginx                                                                                                      app=nginx
kube-system            coredns                               1/1     1            1           309d   coredns                                               rancher/mirrored-coredns-coredns:1.12.0                                                                    k8s-app=kube-dns
kube-system            headlamp                              1/1     1            1           141d   headlamp                                              ghcr.io/headlamp-k8s/headlamp:latest                                                                       k8s-app=headlamp
kube-system            kite                                  1/1     1            1           144d   kite                                                  ghcr.io/zxh326/kite:latest                                                                                 app.kubernetes.io/instance=kite,app.kubernetes.io/name=kite
kube-system            local-path-provisioner                1/1     1            1           309d   local-path-provisioner                                rancher/local-path-provisioner:v0.0.31                                                                     app=local-path-provisioner
kube-system            metrics-server                        1/1     1            1           309d   metrics-server                                        rancher/mirrored-metrics-server:v0.7.2                                                                     k8s-app=metrics-server
kube-system            traefik                               1/1     1            1           309d   traefik                                               rancher/mirrored-library-traefik:2.11.20                                                                   app.kubernetes.io/instance=traefik-kube-system,app.kubernetes.io/name=traefik
kubernetes-dashboard   dashboard-metrics-scraper             1/1     1            1           156d   dashboard-metrics-scraper                             kubernetesui/metrics-scraper:v1.0.8                                                                        k8s-app=dashboard-metrics-scraper
kubernetes-dashboard   kubernetes-dashboard                  1/1     1            1           156d   kubernetes-dashboard                                  kubernetesui/dashboard:v2.7.0                                                                              k8s-app=kubernetes-dashboard
monitoring             monitorgrafana                        0/1     1            0           144d   grafana-sc-dashboard,grafana-sc-datasources,grafana   quay.io/kiwigrid/k8s-sidecar:1.30.3,quay.io/kiwigrid/k8s-sidecar:1.30.3,docker.io/grafana/grafana:12.1.0   app.kubernetes.io/instance=monitorgrafana,app.kubernetes.io/name=grafana
monitoring             monitorgrafana-kube-promet-operator   1/1     1            1           144d   kube-prometheus-stack                                 quay.io/prometheus-operator/prometheus-operator:v0.85.0                                                    app=kube-prometheus-stack-operator,release=monitorgrafana
monitoring             monitorgrafana-kube-state-metrics     1/1     1            1           144d   kube-state-metrics                                    registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.16.0                                              app.kubernetes.io/instance=monitorgrafana,app.kubernetes.io/name=kube-state-metrics
pauhome                web                                   5/5     5            5           144d   web                                                   nginx:stable                                                                                               app=web
