NAMESPACE              LAST SEEN   TYPE      REASON                              OBJECT                                                         MESSAGE
monitoring             34m         Normal    Scheduled                           pod/prometheus-monitorgrafana-kube-promet-prometheus-0         Successfully assigned monitoring/prometheus-monitorgrafana-kube-promet-prometheus-0 to debianworker2
default                3m50s       Normal    Starting                            node/debianworker2                                             
default                34m         Normal    Starting                            node/debianworker2                                             
default                34m         Normal    Starting                            node/debianmaster                                              
default                74d         Normal    Starting                            node/debianworker2                                             
argocd                 34m         Normal    Scheduled                           pod/argocd-application-controller-0                            Successfully assigned argocd/argocd-application-controller-0 to debianworker2
default                16m         Normal    Starting                            node/debianworker1                                             
default                103s        Normal    Starting                            node/debianworker1                                             
default                74d         Normal    Starting                            node/debianworker1                                             
default                18m         Normal    Starting                            node/debianworker2                                             
default                <invalid>   Normal    Starting                            node/debianworker1                                             
monitoring             34m         Normal    Scheduled                           pod/loki-0                                                     Successfully assigned monitoring/loki-0 to debianworker2
default                74d         Normal    CertificateExpirationOK             node/debianworker2                                             Node and Certificate Authority certificates managed by k3s are OK
default                74d         Normal    NodeHasSufficientPID                node/debianworker2                                             Node debianworker2 status is now: NodeHasSufficientPID
default                74d         Normal    Starting                            node/debianworker2                                             Starting kubelet.
default                74d         Warning   InvalidDiskCapacity                 node/debianworker2                                             invalid capacity 0 on image filesystem
default                74d         Normal    NodeHasSufficientMemory             node/debianworker2                                             Node debianworker2 status is now: NodeHasSufficientMemory
default                74d         Normal    NodeAllocatableEnforced             node/debianworker2                                             Updated Node Allocatable limit across pods
default                74d         Normal    NodeHasNoDiskPressure               node/debianworker2                                             Node debianworker2 status is now: NodeHasNoDiskPressure
default                74d         Warning   PossibleMemoryBackedVolumesOnDisk   node/debianworker2                                             The tmpfs noswap option is not supported. Memory-backed volumes (e.g. secrets, emptyDirs, etc.) might be swapped to disk and should no longer be considered secure.
cyclops                74d         Warning   Unhealthy                           pod/cyclops-ctrl-8685b986c7-tmr5r                              Readiness probe failed: Get "http://10.42.2.147:8082/readyz": dial tcp 10.42.2.147:8082: i/o timeout (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/traefik-5cbdcf97f4-bbnx7                                   Liveness probe failed: Get "http://10.42.2.129:9000/ping": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
